Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-07-11,150.0,150.0,135.0,150.0,175,0,0
1996-07-12,145.0,150.0,135.0,145.0,470,0,0
1996-07-15,125.0,140.0,125.0,125.0,400,0,0
1996-07-16,120.0,135.0,120.0,120.0,330,0,0
1996-07-19,122.5,122.5,122.5,122.5,100,0,0
1996-07-24,105.0,120.0,105.0,105.0,665,0,0
1996-07-25,105.0,105.0,105.0,105.0,50,0,0
1996-07-29,100.0,100.0,85.0,100.0,380,0,0
1996-07-30,85.0,85.0,85.0,85.0,50,0,0
1996-07-31,85.0,85.0,85.0,85.0,50,0,0
1996-08-01,85.0,85.0,85.0,85.0,50,0,0
1996-08-05,80.0,100.0,80.0,80.0,160,0,0
1996-08-08,100.0,100.0,100.0,100.0,10,0,0
1996-08-09,95.0,95.0,95.0,95.0,15,0,0
1996-08-13,90.0,90.0,90.0,90.0,100,0,0
1996-08-19,85.0,85.0,82.5,85.0,135,0,0
1996-08-20,82.5,102.5,82.5,82.5,160,0,0
1996-08-21,82.5,82.5,82.5,82.5,50,0,0
1996-08-27,90.0,90.0,90.0,90.0,250,0,0
1996-08-28,90.0,90.0,90.0,90.0,10,0,0
1996-09-05,82.5,82.5,82.5,82.5,5,0,0
1996-09-09,82.5,82.5,82.5,82.5,55,0,0
1996-09-11,82.5,82.5,82.5,82.5,25,0,0
1996-09-13,97.5,97.5,90.0,97.5,130,0,0
1996-09-16,97.5,97.5,62.5,97.5,7610,0,0
1996-09-17,97.5,97.5,97.5,97.5,10,0,0
1996-09-19,77.5,77.5,77.5,77.5,130,0,0
1996-09-20,77.5,77.5,77.5,77.5,25,0,0
1996-09-23,77.5,77.5,77.5,77.5,120,0,0
1996-09-25,77.5,77.5,77.5,77.5,50,0,0
1996-09-26,77.5,77.5,77.5,77.5,825,0,0
1996-09-30,82.5,97.5,82.5,82.5,355,0,0
1996-10-01,86.55999755859375,90.0,86.55999755859375,86.55999755859375,905,0,0
1996-10-02,86.55999755859375,97.5,86.55999755859375,86.55999755859375,455,0,0
1996-10-04,86.55999755859375,86.55999755859375,86.55999755859375,86.55999755859375,155,0,0
1996-10-07,90.0,90.0,90.0,90.0,5,0,0
1996-10-09,90.0,90.0,90.0,90.0,5,0,0
1996-10-10,95.0,95.0,85.0,95.0,105,0,0
1996-10-11,90.0,90.0,77.5,90.0,230,0,0
1996-10-15,77.5,77.5,77.5,77.5,50,0,0
1996-10-22,85.0,85.0,77.5,85.0,70,0,0
1996-10-23,81.26000213623047,81.26000213623047,81.26000213623047,81.26000213623047,1000,0,0
1996-10-24,85.0,90.0,77.5,85.0,105,0,0
1996-10-25,77.5,77.5,77.5,77.5,10,0,0
1996-10-29,85.0,85.0,77.5,85.0,170,0,0
1996-10-30,77.5,77.5,77.5,77.5,50,0,0
1996-11-01,85.0,85.0,85.0,85.0,250,0,0
1996-11-04,77.5,77.5,77.5,77.5,185,0,0
1996-11-05,90.0,90.0,77.5,90.0,55,0,0
1996-11-06,87.5,87.5,87.5,87.5,200,0,0
1996-11-07,77.5,77.5,77.5,77.5,100,0,0
1996-11-08,77.5,77.5,77.5,77.5,60,0,0
1996-11-11,92.5,97.5,92.5,92.5,385,0,0
1996-11-12,92.5,97.5,77.5,92.5,400,0,0
1996-11-14,92.5,92.5,92.5,92.5,515,0,0
1996-11-15,82.5,95.0,82.5,82.5,750,0,0
1996-11-18,82.5,92.5,82.5,82.5,650,0,0
1996-11-19,75.0,87.5,75.0,75.0,735,0,0
1996-11-20,67.5,67.5,67.5,67.5,125,0,0
1996-11-21,65.0,70.0,65.0,65.0,180,0,0
1996-11-22,75.0,75.0,65.0,75.0,180,0,0
1996-11-25,75.0,75.0,75.0,75.0,1170,0,0
1996-11-26,75.0,82.5,75.0,75.0,1200,0,0
